,Case diameter,Dial,Code,Ref. No.,Waterproof,url,Gender,Brand,Bracelet color,Availability,Clasp,Case material,Location,Date,Price,Condition,Movement
With papers,33 mm,White,84.056,581.NX.2611.RX,,http://www.chrono24.com/hublot/classic-fusion-quarz-33mm-5581nx2611rx--id4871734.htm,Men's watch/Unisex,Hublot,Black,Ready to ship in 6-10 days,Fold clasp,Titanium,"Germany, Stuttgart",Date,,0 (unworn),Quartz
With papers,"33,00 mm",Black,,581.NX.1170.RX,5 ATM,http://www.chrono24.com/hublot/classic-fusion-quarz-33mm--id3554385.htm,Ladies' watch,Hublot,Black,Ready to ship in 6-10 days,Fold clasp,Titanium,"Germany, Schwabach",Date,,0 (unworn),Quartz
With papers,,,1348,581.NX.2610.NX,,http://www.chrono24.com/hublot/--classic-fusion-titanium-opalin-bracciale--id5017127.htm,,Hublot,,Ready to ship in 6-10 days,Fold clasp,Titanium,"Italy, Torino",,,0 (unworn),Automatic
With papers,42 mm,White,,542.NX.2610.LR,5 ATM,http://www.chrono24.com/hublot/classic-fusion-42-mm-titanium-542-nx-2610-lr--id4059691.htm,,Hublot,Black,Ready to ship in 6-10 days,Fold clasp,Titanium,"Italy, l'aquila",Date,,0 (unworn),Automatic
With papers,42 mm,White,7906,542.NX.2611.LR,,http://www.chrono24.com/hublot/--classic-fusion---opalin-titanium-automatic--id5017143.htm,,Hublot,,Ready to ship in 6-10 days,,Titanium,"Italy, Torino",,,0 (unworn),Automatic
With papers,"45,00 mm",Black,,511.CM.1770.RX,10 ATM,http://www.chrono24.com/hublot/classic-fusion-automatic--id3553943.htm,Men's watch/Unisex,Hublot,Black,Ready to ship in 6-10 days,Fold clasp,Ceramic,"Germany, Schwabach",Date,,0 (unworn),Automatic
With papers,,,,581.CM.1771.RX,,http://www.chrono24.com/hublot/classic-fusion-black-magic-quartz-33-mm--id4693000.htm,,Hublot,,Ready to ship in 6-10 days,,,"United Kingdom, London",,,0 (unworn),
With papers,,,,414.CI.1110.RX,,http://www.chrono24.com/hublot/newltd-500-big-bang-meca-10-all-black-414ci1110rx--id5639237.htm,Men's watch/Unisex,Hublot,,Ready to ship in 3-5 days,,Ceramic,"Hong Kong SAR, Hong Kong",,,0 (unworn),Manual winding
With papers,,,,341.PX.7518.VR.1975,,http://www.chrono24.com/hublot/new-big-bang-zebra-diamond-rose-gold-chronograph-ladies--id4789735.htm,Ladies' watch,Hublot,,Ready to ship in 3-5 days,,Pink gold,Hong Kong SAR,,,0 (unworn),Automatic
With papers,,,,301.QX.1749.GR.WTY16,,http://www.chrono24.com/hublot/new-big-bang-womanity-chronograph-301qx1749grwty16--id5543606.htm,Men's watch/Unisex,Hublot,,Ready to ship in 3-5 days,,Carbon,Hong Kong SAR,,,0 (unworn),Automatic
With papers,45 mm,,,511.CO.1781.RX,,http://www.chrono24.com/hublot/classic-fusion-ceramic-king-gold--id4892540.htm,Men's watch/Unisex,Hublot,,Ready to ship in 3-5 days,,Ceramic,"Switzerland, Freienbach/Zürich",,,0 (unworn),Automatic
With papers,42 mm,White,,545.OX.2210.LR,,http://www.chrono24.com/hublot/classic-fusion-ultra-thin--id4722948.htm,,Hublot,Brown,Ready to ship in 3-5 days,,Red gold,"Switzerland, St.Gallen",,,0 (unworn),Automatic
With papers,45 mm,,,405.OX.0138.LR,,http://www.chrono24.com/hublot/big-bang-tourbillon-power-reserve-5-days--id5488306.htm,Men's watch/Unisex,Hublot,,Ready to ship in 3-5 days,,Pink gold,"Switzerland, Freienbach/Zürich",,,0 (unworn),Manual winding
With papers,,,,405.MX.0138.RX,,http://www.chrono24.com/hublot/big-bang-tourbillon-power-reserve-5-days--id5488314.htm,Men's watch/Unisex,Hublot,,Ready to ship in 3-5 days,,Yellow gold,"Switzerland, Freienbach/Zürich",,,0 (unworn),Manual winding
