,Case diameter,Dial,Code,Ref. No.,"Date, GMT",Gender,Brand,Dial numerals,Availability,Clasp,"Chronometer, Helium Valve",Case material,Location,url,Price,Condition,Movement
,44 mm,White,,PAM114,,Men's watch/Unisex,Panerai,Arabic numerals,Available now,Buckle,,Steel,"Belgium, Antwerpen",http://www.chrono24.com/panerai/luminor-marina-bp2010-pam114--id4421582.htm,,1 (mint),Manual winding
New,47 mm,Black,,PAM423,,Men's watch/Unisex,Panerai,Arabic numerals,Available now,Fold clasp,,Steel,"United Kingdom, Wilmslow",http://www.chrono24.com/panerai/panerai-luminor-1950-3-days-power-reserve-pam00423--id4640871.htm,,0 (unworn),Manual winding
With papers,42 mm,Black,,PAM00620,,Men's watch/Unisex,Panerai,Arabic numerals,Available now,Buckle,,Steel,"Germany, Frankfurt Am Main",http://www.chrono24.com/panerai/radomir-1940-3-days-automatic-acciaio--id4290205.htm,,0 (unworn),Automatic
With box,44 mm,Black,PAM00533,PAM00533,,,Panerai,,Available now,Buckle,,Steel,"Hong Kong SAR, Kowloon",http://www.chrono24.com/panerai/new--luminor-stainless-steel-black-automatic-pam00533--id5610514.htm,,0 (unworn),Automatic
With papers,7.9 x 45 mm,,8086,PAM00505,,,Panerai,Arabic numerals,Available now,,,Ceramic,"Italy, Torino",http://www.chrono24.com/panerai/--radiomir-composite-black-seal-3-days-automatic--id5038208.htm,,0 (unworn),Automatic
With papers,,,,PAM00577 or PAM577,,,Panerai,,Available now,,,,"United Kingdom, London",http://www.chrono24.com/panerai/radiomir-1940-3-days-ceramica-48-mm--id4941720.htm,,0 (unworn),
With papers,47 mm,Black,,PAM00372,,Men's watch/Unisex,Panerai,Arabic numerals,Available now,,,Steel,"France, Thonon les bains",http://www.chrono24.com/panerai/luminor-1950-3-days-acier-pam-372--id4941488.htm,,1 (mint),Manual winding
With papers,4 x 45 mm,,8357,PAM00674,,,Panerai,Arabic numerals,Available now,,,Steel,"Italy, Torino",http://www.chrono24.com/panerai/--luminor-due-3-days-automatic-acciaio---45-mm--id5295413.htm,,0 (unworn),Automatic
With papers,44 mm,,1706,PAM00321,"Date, GMT",,Panerai,,Available now,,,Steel,"Switzerland, Lausanne",http://www.chrono24.com/panerai/luminor-1950-3-days-power-reserve-pam00321--id5021480.htm,,1 (mint),Automatic
With papers,47 mm,Black,,PAM00425,,Men's watch/Unisex,Panerai,No numerals,Available now,Buckle,,Steel,"Belgium, Antwerpen",http://www.chrono24.com/panerai/radiomir-slc-3-days-steel-47mm-bp2015-blackdial--id5657564.htm,,1 (mint),Manual winding
With papers,47 mm,Black,,PAM00530 / PAM530,,Men's watch/Unisex,Panerai,No numerals,Available now,Buckle,,Titanium,"Germany, Bietigheim-Bissingen",http://www.chrono24.com/panerai/panerai-luminor-1950-rattrapante-8-days-titan-47mm-pam530--id3781731.htm,,0 (unworn),Manual winding
,45 mm,Brown,10947,PAM00346,,Men's watch/Unisex,Panerai,,Available now,,,Titanium,"Monaco, Monaco",http://www.chrono24.com/panerai/radiomir-8-days-45mm-pam00346--id4358760.htm,,0 (unworn),Manual winding
With papers,,,,PAM00438,,,Panerai,,Available now,Fold clasp,,Ceramic,"Italy, TORINO",http://www.chrono24.com/panerai/luminor-gmt-1950-3-days-all-black-ceramic-pam438--id4097385.htm,,0 (unworn),Automatic
With papers,42 mm,,,,,Men's watch/Unisex,Panerai,,Available now,Buckle,,Steel,"Hong Kong SAR, Kowloon",http://www.chrono24.com/panerai/pam00620-radiomir-1940-3-days-black-dial-automatic--id5646608.htm,,0 (unworn),Automatic
With papers,,,,00850,,,Panerai,,Available now,,,,"Italy, Roma",http://www.chrono24.com/panerai/luminor-1950-sealand-3-days--id4618695.htm,,0 (unworn),
With papers,,,,Pam00220,,Men's watch/Unisex,Panerai,,Available now,Double-fold clasp,,Steel,"Netherlands, Kerkrade",http://www.chrono24.com/panerai/panerai-luminor-marina-pam-220--id5680902.htm,,1 (mint),Automatic
With papers,42 mm,Black,,PAM00535 / PAM535,"Date, GMT",Men's watch/Unisex,Panerai,Arabic numerals,Available now,Buckle,,Steel,"Germany, Bietigheim-Bissingen",http://www.chrono24.com/panerai/luminor-1950-3-days-gmt-acciaio-pam535--id2828183.htm,,0 (unworn),Automatic
With papers,44 mm,Black,10624,PAM 00243,,Men's watch/Unisex,Panerai,,Available now,Buckle,,Steel,"Germany, Düsseldorf",http://www.chrono24.com/panerai/luminor-submersible-pam00243-stahl---deutsche-papiere-0108--id3916034.htm,,1 (mint),Automatic
With papers,44 mm,Black,2246,PAM 00091,,,Panerai,Arabic numerals,Available now,,,Titanium,"Italy, Chieri (TO)",http://www.chrono24.com/panerai/luminor-44-titanio-automatico-pam-91-122002-art-p27--id4812715.htm,,1 (mint),Automatic
With papers,,,,PAM424,,,Panerai,,Available now,,,Steel,"Cyprus, Nicosia",http://www.chrono24.com/panerai/panerai-historic-radiomir-3-days-pam424--id2189312.htm,,0 (unworn),
With papers,44 mm,Black,MT28805,OP6524,"Date, GMT",,Panerai,Arabic numerals,Available now,Buckle,,Steel,"Belgium, Brussel",http://www.chrono24.com/panerai/luminor-gmt--id4719563.htm,,1 (mint),Automatic
With papers,,,,PAM0275,,Men's watch/Unisex,Panerai,,Available now,,,Steel,Hong Kong SAR,http://www.chrono24.com/panerai/luminor-8-day-gmt-chronograph-monopulsante--id5290834.htm,,1 (mint),Manual winding
With box,44 mm,Black,PAM00524,PAM00524,,,Panerai,,Available now,Buckle,,Steel,"Hong Kong SAR, Kowloon",http://www.chrono24.com/panerai/new--luminor-stainless-steel-black-automatic-pam00524--id5455243.htm,,0 (unworn),Automatic
With papers,52 mm,Brown,4524,PAM603,,Men's watch/Unisex,Panerai,,Available now,,,Titanium,"Switzerland, Baar",http://www.chrono24.com/panerai/mare-nostrum-titanium-limited-150-pcs-pam00603--id4059474.htm,,0 (unworn),Manual winding
,44 mm,Black,9287,PAM00531,,Men's watch/Unisex,Panerai,,Available now,,,Steel,"Monaco, Monaco",http://www.chrono24.com/panerai/luminor-1950-3-days-pam00531--id5462723.htm,,0 (unworn),Automatic
With papers,4.5 x 44 mm,White,8346,PAM00563,,,Panerai,Arabic numerals,Available now,,,Steel,"Italy, Torino",http://www.chrono24.com/panerai/--luminor-marina-8-days-acciaio---44mm--id5295406.htm,,0 (unworn),Manual winding
With papers,42 mm,Black,7324,PAM00512 OP6936,,,Panerai,Arabic numerals,Available now,Buckle,,Steel,"Switzerland, Lugano",http://www.chrono24.com/panerai/radiomir-pam00512-steel-leather-42mm--id5256193.htm,price on request,0 (unworn),Manual winding
With papers,44 mm,Black,4569,PAM195,,Men's watch/Unisex,Panerai,,Available now,,,Steel,"Switzerland, Baar",http://www.chrono24.com/panerai/luminor-marina-logo-pvd-limited-200-pcs-pam00195--id4426626.htm,price on request,1 (mint),Manual winding
With papers,44 x 22 mm,Black,1344,PAM00233,,,Panerai,Arabic numerals,Available now,,,Steel,"Italy, Torino",http://www.chrono24.com/panerai/--luminor-1950-8-days-gmt-44mm--id5038194.htm,,0 (unworn),Automatic
With papers,44 mm,Black,A10086,PAM00233,"Date, GMT",Men's watch/Unisex,Panerai,,Available now,,,Steel,"Germany, Köln",http://www.chrono24.com/panerai/luminor-marina-gmt-8-days-stahl-pam00233--id5611904.htm,,1 (mint),Manual winding
With papers,44 mm,Black,,PAM00025,,Men's watch/Unisex,Panerai,No numerals,Available now,Buckle,,Titanium,"Belgium, Antwerpen",http://www.chrono24.com/panerai/luminor-submersible-44mm-bp2001-titan-automaticsteelband--id5208045.htm,,1 (mint),Automatic
With papers,5.3 x 48 mm,,8299,PAM00577,,,Panerai,,Available now,,,Ceramic,"Italy, Torino",http://www.chrono24.com/panerai/--radiomir-1940-3-days-ceramica---48mm--id5295360.htm,,0 (unworn),Manual winding
,45 mm,Black,6803,FER00001,,Men's watch/Unisex,Panerai,Arabic numerals,Available now,Fold clasp,,Steel,"Germany, Langenfeld",http://www.chrono24.com/panerai/ferrari-45mm-gt-granturismo-small-second-automatic-sportler--id5492048.htm,,1 (mint),Automatic
With papers,45 mm,Grey,,,,Men's watch/Unisex,Panerai,Arabic numerals,Available now,Buckle,,Titanium,"Hong Kong SAR, Hong Kong",http://www.chrono24.com/panerai/pam00619-1940-radiomir-automatic-titanium--id4917625.htm,,0 (unworn),Automatic
With box,47 mm,Brown,,PAM00232,,Men's watch/Unisex,Panerai,Arabic numerals,Available now,,,Steel,Netherlands,http://www.chrono24.com/panerai/radiomir-1938-limited-edition--id4680028.htm,,1 (mint),Manual winding
With papers,44 mm,Black,,PAM00510 / PAM510,,Men's watch/Unisex,Panerai,Arabic numerals,Available now,Buckle,,Steel,"Germany, Bietigheim-Bissingen",http://www.chrono24.com/panerai/panerai-luminor-marina-8-days-pam510-sandwich-dial--id2981483.htm,,0 (unworn),Manual winding
With papers,42 mm,Black,,,,Men's watch/Unisex,Panerai,,Available now,Buckle,,Steel,"Hong Kong SAR, Hong Kong",http://www.chrono24.com/panerai/pam01392---luminor-marina-1950-3-days-automatic-acciaio--id4950415.htm,,0 (unworn),Automatic
With papers,44 mm,Black,,,,Men's watch/Unisex,Panerai,,Available now,Buckle,,Steel,"Hong Kong SAR, Hong Kong",http://www.chrono24.com/panerai/pam01359-luminor-marina-1950-3-days-automatic-acciaio--id4950407.htm,,0 (unworn),Automatic
With papers,,,,PAM00514 or PAM514,,,Panerai,,Available now,,,,"United Kingdom, London",http://www.chrono24.com/panerai/radiomir-1940-3-days-acciaio-47-mm--id4941704.htm,,0 (unworn),
With papers,,,,pam00196,,Men's watch/Unisex,Panerai,,Available now,,,Steel,Belgium,http://www.chrono24.com/panerai/daylight-luminor-pam00196--id5394202.htm,,2 (fine),Automatic
With papers,44 mm,Black,,PAM00104 / PAM104,,Men's watch/Unisex,Panerai,Arabic numerals,Available now,Fold clasp,,Steel,"Germany, Bietigheim-Bissingen",http://www.chrono24.com/panerai/panerai-luminor-marina-automatik-pam104-ref-pam00104--id2672063.htm,,0 (unworn),Automatic
With papers,45 mm,Red,MT28745,FER00013,,,Panerai,Arabic numerals,Available now,Double-fold clasp,,Steel,"Belgium, Brussel",http://www.chrono24.com/panerai/ferrari-granturismo-chronograph--id4727464.htm,,1 (mint),Automatic
With papers,44 mm,Black,35276,PAM00029,"Date, GMT",Men's watch/Unisex,Panerai,Arabic numerals,Available now,Double-fold clasp,,Steel,"France, Lyon",http://www.chrono24.com/panerai/luminor-tuxedo--id5218350.htm,,1 (mint),Automatic
With papers,44 mm,Black,,PAM00359 / 359 / PAM359,,Men's watch/Unisex,Panerai,Arabic numerals,Available now,Buckle,,Steel,"Germany, Karlsruhe",http://www.chrono24.com/panerai/luminor-marina---3-days---like-new---new-service--id4947710.htm,,1 (mint),Automatic
With papers,44 mm,White,2521,PAM00113,,Men's watch/Unisex,Panerai,,Available now,Buckle,,Steel,"United Kingdom, London",http://www.chrono24.com/panerai/luminor-marina-44mm-pam113-full-set--id4526977.htm,,1 (mint),Manual winding
With papers,,,,PAM00577,,,Panerai,,Available now,,,Ceramic,"Italy, TORINO",http://www.chrono24.com/panerai/panerai---radiomir-1940-3-days-ceramica---48mm-pam577--id5488271.htm,,0 (unworn),Manual winding
With papers,,,,PAM00372,,,Panerai,,Available now,Buckle,,Steel,"Italy, TORINO",http://www.chrono24.com/panerai/luminor-47mm-pam372--id3648531.htm,,0 (unworn),Manual winding
With papers,40 mm,White,,PAM00051,,,Panerai,,Available now,Fold clasp,,Steel,"Italy, l'aquila",http://www.chrono24.com/panerai/luminor-marina-pam00051-pam051-51-gu1--id4130799.htm,,1 (mint),Automatic
With papers,44 mm,Black,MT29192,PAM00112,,Men's watch/Unisex,Panerai,Arabic numerals,Available now,Buckle,,Steel,"Belgium, Brussel",http://www.chrono24.com/panerai/luminor-base--id5680476.htm,,1 (mint),Manual winding
With papers,,,,PAM00564,,Men's watch/Unisex,Panerai,,Available now,,,Steel,Hong Kong SAR,http://www.chrono24.com/panerai/luminor-marina-8-days-titanio-44mm-pam564-new--id3064806.htm,,0 (unworn),Manual winding
With papers,44 mm,Black,,PAM00104,,,Panerai,,Available now,Double-fold clasp,,Steel,"France, Thonon les bains",http://www.chrono24.com/panerai/luminor-marina-automatic-pam-104-44mm--id3512649.htm,,0 (unworn),Automatic
With papers,44 mm,White,1401,PAM00113,,,Panerai,,Available now,,,Steel,"Switzerland, Lausanne",http://www.chrono24.com/panerai/luminor-marina-pam00113--id4242419.htm,,1 (mint),Manual winding
With papers,44 mm,Black,38747,PAM00299,,Men's watch/Unisex,Panerai,Arabic numerals,Available now,Double-fold clasp,,Steel,"France, Lyon",http://www.chrono24.com/panerai/luminor-marina--id5695782.htm,,1 (mint),Automatic
With papers,,,,PAM01359,,,Panerai,,Available now,,,Steel,"Italy, TORINO",http://www.chrono24.com/panerai/luminor-marina-1950-3-days-automatic-44-mm-pam1359--id5681077.htm,,0 (unworn),Automatic
With papers,44 mm,White,,PAM00630,,Men's watch/Unisex,Panerai,,Available now,,,Steel,"France, Thonon les bains",http://www.chrono24.com/panerai/luminor-base-logo-pam-630--id4540363.htm,,0 (unworn),Automatic
With papers,44 mm,Black,2619,,,,Panerai,Arabic numerals,Available now,Buckle,,Ceramic,"Italy, Chieri (TO)",http://www.chrono24.com/panerai/black-seal-ceramic-pam-292-mai-indossato-art-p39--id4813106.htm,,0 (unworn),Manual winding
With papers,44 mm,White,5272,PAM 56,,,Panerai,Arabic numerals,Available now,Buckle,,Steel,"Italy, Bologna",http://www.chrono24.com/panerai/luminor-marina-8-days-nos-pam-563--id5695709.htm,,0 (unworn),Automatic
With papers,47 mm,Black,,PAM00514,,Men's watch/Unisex,Panerai,,Available now,,,Steel,"France, Thonon les bains",http://www.chrono24.com/panerai/radiomir-1940-3-days-47mm-pam-514-5200-ht--id3643211.htm,,0 (unworn),Manual winding
,45 mm,Black,TP572M,TP572M,"Date, GMT",Men's watch/Unisex,Panerai,Arabic numerals,Available now,Double-fold clasp,,Steel,"United Kingdom, London",http://www.chrono24.com/panerai/ferrari-edition--id4346425.htm,,1 (mint),Automatic
With papers,,,,PAM351,,,Panerai,,Available now,,,Titanium,"Cyprus, Nicosia",http://www.chrono24.com/panerai/luminor-marina-1950-3-days-automatic-pam351--id1751379.htm,,0 (unworn),
With box,45 mm,,wpcf7-f81-p3770-o1,F6656,,,Panerai,,Available now,,,Steel,"Austria, Baden bei Wien",http://www.chrono24.com/panerai/ferrari-chronograph-limited--id5536411.htm,,1 (mint),Automatic
With papers,45 mm,Black,,PAM00287,,Men's watch/Unisex,Panerai,,Available now,Double-fold clasp,,Steel,"United Kingdom, London",http://www.chrono24.com/panerai/radiomir-black-seal-45mm-ref-pam00287--id5556950.htm,,1 (mint),Automatic
With papers,,,,PAM389,,,Panerai,,Available now,,,,"Cyprus, Nicosia",http://www.chrono24.com/panerai/luminor-submersible-1950-amagnetic-3-days-automatic-pam389--id2544421.htm,price on request,0 (unworn),
With papers,47 mm,Black,,,,Men's watch/Unisex,Panerai,No numerals,Available now,Buckle,,Steel,"Hong Kong SAR, Kowloon",http://www.chrono24.com/panerai/pam00423--id5647068.htm,,0 (unworn),Manual winding
With papers,,,,Pam00088,,Men's watch/Unisex,Panerai,,Available now,Double-fold clasp,,Steel,"Netherlands, Kerkrade",http://www.chrono24.com/panerai/panerai-luminor-marina-gmt-pam-88--44mm--id5630512.htm,,1 (mint),Automatic
With papers,47 mm,Black,A9911,PAM00424,,Men's watch/Unisex,Panerai,,Available now,,,Steel,"Germany, Köln",http://www.chrono24.com/panerai/radiomir-california-dial-3-days-stahl-pam00424--id5359788.htm,,1 (mint),Manual winding
With papers,45 mm,Black,,,,Men's watch/Unisex,Panerai,No numerals,Available now,Buckle,,Ceramic,"Hong Kong SAR, Kowloon",http://www.chrono24.com/panerai/pam00643--id5646908.htm,,0 (unworn),Manual winding
,44 mm,Brown,9706,PAM00562,,Men's watch/Unisex,Panerai,,Available now,,,Titanium,"Monaco, Monaco",http://www.chrono24.com/panerai/luminor-base-8-days-titanium--44mm-pam00562--id4895826.htm,,0 (unworn),Manual winding
With papers,,,,PAM00422,,Men's watch/Unisex,Panerai,,Available now,,,Steel,"Hong Kong SAR, North Point",http://www.chrono24.com/panerai/pam422-luminor-3-days-47mm-new--id2359294.htm,,0 (unworn),Manual winding
With papers,44 mm,Black,Full Set / Box & Papers,OP6630 / PAM164 / PAM00164,,Men's watch/Unisex,Panerai,Arabic numerals,Available now,Fold clasp,,Steel,"Netherlands, Katwijk aan zee",http://www.chrono24.com/panerai/luminor-marina-automatic-steel-44-mm-full-set--id5604319.htm,,1 (mint),Automatic
With papers,,,,Pam 00090,,Men's watch/Unisex,Panerai,,Available now,Double-fold clasp,,,"France, Villette d'anthon",http://www.chrono24.com/panerai/luminor-power-reserve--id4003237.htm,,1 (mint),
With papers,,,,PAM00388,,,Panerai,,Available now,Buckle,,Steel,"Italy, TORINO",http://www.chrono24.com/panerai/radiomir-black-seal-3-days-automatic-pam388--id2452004.htm,,0 (unworn),Automatic
With papers,5.3 x 47 mm,,656,PAM00424,,,Panerai,Arabic numerals,Available now,,,Steel,"Italy, Torino",http://www.chrono24.com/panerai/--radiomir-california-3-days-47mm--id5295352.htm,,0 (unworn),Automatic
With papers,44 mm,Black,,PAM00560 / PAM560,,Men's watch/Unisex,Panerai,Arabic numerals,Available now,Buckle,,Steel,"Germany, Bietigheim-Bissingen",http://www.chrono24.com/panerai/luminor-base-8-days-acciaio-pam560--id2905684.htm,,0 (unworn),Manual winding
With papers,,,,PAM00425,,Men's watch/Unisex,Panerai,,Available now,,,Steel,Hong Kong SAR,http://www.chrono24.com/panerai/pam425-panerai-radiomir-3-days-47mm-california-dial-new--id2653657.htm,,0 (unworn),Automatic
,44 mm,,16722,,,,Panerai,Arabic numerals,Available now,,,Steel,"Belgium, Bruxelles",http://www.chrono24.com/panerai/luminor-marina-pam-111--id5677849.htm,,,Manual winding
With papers,42 mm,Black,4403,,,,Panerai,Arabic numerals,Available now,,,Steel,"Italy, Chieri (TO)",http://www.chrono24.com/panerai/luminor-1950-3-days-42mm-pam-00392-mai-indossato-art-p--id4812653.htm,,0 (unworn),Automatic
,47 mm,Brown,,PAM00504 / PAM504,,Men's watch/Unisex,Panerai,Arabic numerals,Available now,Buckle,,,"Germany, Bietigheim-Bissingen",http://www.chrono24.com/panerai/radiomir-composite-3-days-pam504-ref-pam00504--id2616171.htm,,0 (unworn),Manual winding
With papers,44 mm,Brown,,PAM00351 / PAM351,,Men's watch/Unisex,Panerai,Arabic numerals,Available now,Buckle,,Titanium,"Germany, Bietigheim-Bissingen",http://www.chrono24.com/panerai/luminor-marina-1950-3-days-automatic-titanio-pam00351--id3172874.htm,,0 (unworn),Automatic
With papers,,,,PAM005,,,Panerai,,Available now,,,Steel,"Cyprus, Nicosia",http://www.chrono24.com/panerai/luminor-marina-militare-logo-pam005--id1417764.htm,,0 (unworn),
With papers,45 mm,Black,,,,Men's watch/Unisex,Panerai,No numerals,Available now,Buckle,,Pink gold,"Hong Kong SAR, Kowloon",http://www.chrono24.com/panerai/pam00675--luminor-due-3-days-automatic-oro-rosso--id5442719.htm,,0 (unworn),Automatic
With papers,47 mm,Black,23109,Pam00309,,Men's watch/Unisex,Panerai,Arabic numerals,Available now,Buckle,,Titanium,"France, Lyon",http://www.chrono24.com/panerai/radiomir-8-jours-calibre-minerva-pam00309--id5218378.htm,,1 (mint),Manual winding
With papers,44 mm,Black,,PAM00438,"Date, GMT",Men's watch/Unisex,Panerai,,Available now,,,Ceramic,"France, Thonon les bains",http://www.chrono24.com/panerai/luminor-gmt-1950-3-days-all-black-ceramic-pam438--id4425328.htm,,0 (unworn),Automatic
With papers,44 mm,Black,,PAM00312 / PAM312,,Men's watch/Unisex,Panerai,Arabic numerals,Available now,Buckle,,Steel,"Germany, Bietigheim-Bissingen",http://www.chrono24.com/panerai/luminor-1950-marina-automatik-3-days-pam312-sandwich-dial--id2687940.htm,,0 (unworn),Automatic
,45 mm,Black,9339,PAM00572,,Men's watch/Unisex,Panerai,,Available now,,,Steel,"Monaco, Monaco",http://www.chrono24.com/panerai/radiomir-1940-3-days--pam00572--id4316195.htm,,0 (unworn),Automatic
New,42 mm,Blue,3793,5218-301,,Men's watch/Unisex,Panerai,,Available now,,,Steel,"Switzerland, Baar",http://www.chrono24.com/panerai/pre-vendome-mare-nostrum-5218-301a--id4578644.htm,,1 (mint),Manual winding
With papers,,Black,10954,,,Men's watch/Unisex,Panerai,,Ready to ship in 6-10 days,Buckle,,Steel,"United States, New York, Airmont",http://www.chrono24.com/panerai/luminor-marina-1950-3-days-automatic-44mm-pam00312--id4999716.htm,"$6,600",0 (unworn),Automatic
,42 x 47 mm,Black,8391,PAM 184,"Date, GMT",Men's watch/Unisex,Panerai,,On request,Buckle,,Steel,"United States, New York, New York",http://www.chrono24.com/panerai/radiomir-collection-radiomir-gmt-steetl-black-dial-jlc-based-movement-2004-ref-pam-184--id2688363.htm,price on request,1 (mint),Automatic
With papers,44 x 54 mm,Black,8168,PAM 233,"Date, GMT",Men's watch/Unisex,Panerai,Arabic numerals,On request,Buckle,,Steel,"United States, New York, New York",http://www.chrono24.com/panerai/luminor-collection-luminor-1950-8-days-gmt-44mm-j-series-2008-ref-pam-233--id2538977.htm,price on request,1 (mint),Manual winding
With papers,45 x 57 mm,Black,8302,FER00009,"Date, GMT",,Panerai,Arabic numerals,On request,Double-fold clasp,,Steel,"United States, New York, New York",http://www.chrono24.com/panerai/ferrari-collection-scuderia-gmt-stainless-steel-45mm-ref-fer00009--id2631208.htm,price on request,0 (unworn),Automatic
,40 mm,Black,9237,PAM 62,,Men's watch/Unisex,Panerai,Arabic numerals,On request,Buckle,,White gold,"United States, New York, New York",http://www.chrono24.com/panerai/radiomir-collection-radiomir-40mm-18k-white-gold-circa-2000-ref-pam-62--id3042814.htm,price on request,1 (mint),Automatic
New,,,401201779193,,,,Panerai,,On request,,,,"United States, Florida, Miami",http://www.chrono24.com/panerai/luminor-1950-3-days-gmt-power-reserve-automatic-acciaio-automatic-mens-watch-pam00321--id4950032.htm,"$7,590",0 (unworn),
With papers,45 mm,,2392,PAM 273,"Date, GMT",,Panerai,Arabic numerals,On request,Fold clasp,,Pink gold,"United States, New York, New York",http://www.chrono24.com/panerai/radiomir-collection-radiomir-special-edition-gmt-10-day-power-reserve-45mm-ref-pam-273--id2789619.htm,price on request,0 (unworn),Automatic
With papers,44 x 54 mm,Black,8296,PAM 321,"Date, GMT",Men's watch/Unisex,Panerai,,On request,Double-fold clasp,,Steel,"United States, New York, New York",http://www.chrono24.com/panerai/luminor-collection-luminor-1950-3-days-power-reserve-gmt-44mm-o-series-2012-ref-pam-321--id2789151.htm,price on request,1 (mint),Automatic
New,,,401269446248,,,,Panerai,,On request,,,,"United States, Florida, Miami",http://www.chrono24.com/panerai/luminor-1950-equation-of-time-8-days-acciaio-limited-edition-manual-mens-watch-pam00656--id5697498.htm,"$17,500",0 (unworn),
With box,44 x 53 mm,Black,8309,PAM 111,,,Panerai,Arabic numerals,On request,Buckle,,Steel,"United States, New York, New York",http://www.chrono24.com/panerai/luminor-collection-luminor-marina-44mm-stainless-steel-black-dial-i-series-ref-pam-111--id2789387.htm,price on request,1 (mint),Manual winding
With papers,40 x 48 mm,Black,7701,PAM 241,,,Panerai,,On request,Double-fold clasp,,Steel,"United States, New York, New York",http://www.chrono24.com/panerai/luminor-collection-luminor-power-reserve-40mm-stainless-steel--ref-pam-241--id2347400.htm,price on request,0 (unworn),Automatic
,44 x 53 mm,Black,8313,PAM 111,,,Panerai,Arabic numerals,On request,Buckle,,Steel,"United States, New York, New York",http://www.chrono24.com/panerai/luminor-collection-luminor-marina-44mm-stainless-steel-black-dial-g-series-ref-pam-111--id2644078.htm,price on request,1 (mint),Manual winding
With papers,47 x 57 mm,Black,9370,PAM 569,,Men's watch/Unisex,Panerai,,On request,Buckle,,Titanium,"United States, New York, New York",http://www.chrono24.com/panerai/luminor-submersible-collection-luminor-submersible-1950-left-handed-3-days-titanio-ref-pam-569--id3264100.htm,price on request,0 (unworn),Automatic
With papers,200 x 250 mm,Black,9765,PAM 255,,,Panerai,,On request,,,Steel,"United States, New York, New York",http://www.chrono24.com/panerai/clock-collection-luminor-steel-20cm-black-dial-wall-clock-quartz-2012-ref-pam-255--id4300175.htm,price on request,1 (mint),Quartz
With papers,47 x 56 mm,Black,10079,PAM 604,,Men's watch/Unisex,Panerai,,On request,Buckle,,Steel,"United States, New York, New York",http://www.chrono24.com/panerai/radiomir-collection-radiomir-firenze-3-days-engraved-steel-47mm-case-2015-ref-pam-604--id5346598.htm,price on request,0 (unworn),Manual winding
With papers,44 x 53 mm,Black,8451,PAM 308,,,Panerai,Arabic numerals,On request,Buckle,,Steel,"United States, New York, New York",http://www.chrono24.com/panerai/luminor-collection-luminor-regatta-chronograph-special-series-2008-ref-pam-308--id2744028.htm,price on request,1 (mint),Manual winding
New,,,401269279011,,,,Panerai,,On request,,,,"United States, Florida, Miami",http://www.chrono24.com/panerai/luminor-marina-1950-automatic-mens-watch-pam01359--id5691613.htm,"$6,200",0 (unworn),
,44 x 52 mm,Black,9871,PAM 24,,Men's watch/Unisex,Panerai,Arabic numerals,On request,Double-fold clasp,,Steel,"United States, New York, New York",http://www.chrono24.com/panerai/luminor-submersible-collection-luminor-submersible-steel-44mm-j-series-2007-ref-pam-24--id4513948.htm,price on request,1 (mint),Automatic
New,,,401111921264,,,,Panerai,,On request,,,,"United States, Florida, Miami",http://www.chrono24.com/panerai/special-edition-radiomir-1940-3-days-acciaio-automatic-mens-watch-pam00572--id5185457.htm,"$7,125",0 (unworn),
With papers,47 x 57 mm,Black,9188,PAM 305,,,Panerai,,On request,Buckle,,Titanium,"United States, New York, New York",http://www.chrono24.com/panerai/luminor-submersible-collection-luminor-submersible-1950-47mm-titanium--ref-pam-305--id2981683.htm,price on request,1 (mint),Automatic
,44 x 53 mm,Black,9459,PAM 104,,Men's watch/Unisex,Panerai,Arabic numerals,On request,Double-fold clasp,,Steel,"United States, New York, New York",http://www.chrono24.com/panerai/luminor-collection-luminor-marina-steel-black-dial-44mm-2005-ref-pam-104--id3360838.htm,price on request,1 (mint),Automatic
With papers,40 x 48 mm,Black,9226,PAM 48,,,Panerai,Arabic numerals,On request,Double-fold clasp,,Steel,"United States, New York, New York",http://www.chrono24.com/panerai/luminor-collection-luminor-marina-40mm-steel-black-dial-circa-2007-ref-pam-48--id3026690.htm,price on request,1 (mint),Automatic
New,,,401266662291,,,,Panerai,,On request,,,,"United States, Florida, Miami",http://www.chrono24.com/panerai/luminor-1950-marina-3-days-automatic-acciaio-automatic-mens-watch-pam00359--id5661346.htm,"$5,500",0 (unworn),
With papers,44 x 53 mm,Blue,9463,PAM 326,,Men's watch/Unisex,Panerai,Arabic numerals,On request,Double-fold clasp,,Titanium,"United States, New York, New York",http://www.chrono24.com/panerai/luminor-collection-daylight-chronograph-titanium-blue-dial-44mm-m-series-2011-ref-pam-326--id3365454.htm,price on request,1 (mint),Automatic
New,,,381946903123,,,,Panerai,,On request,,,,"United States, Florida, Miami",http://www.chrono24.com/panerai/luminor-marina-1950-automatic-mens-watch-pam01499--id5691606.htm,"$5,500",0 (unworn),
With papers,45 mm,Champagne,9427,PAM 518,,Men's watch/Unisex,Panerai,,On request,Double-fold clasp,,Platinum,"United States, New York, New York",http://www.chrono24.com/panerai/radiomir-collection-radiomir-1940-chronograph-platino-2014-special-edition-ref-pam-518--id3329875.htm,price on request,0 (unworn),Manual winding
