,Case diameter,Dial,Code,Ref. No.,"Date, GMT",Gender,Brand,Dial numerals,Availability,Clasp,"Chronometer, Helium Valve",Case material,Location,url,Price,Condition,Movement
,42 mm,,542.OX.1181.LR,542.OX.1181.LR,,Men's watch/Unisex,Hublot,,On request,,,Pink gold,"United States, Florida, Miami",http://www.chrono24.com/hublot/classic-fusion-42mm-automatic-18k-rose-gold-mens-watch-ref-542ox1181lr--id5268403.htm,"$13,703",0 (unworn),
,42 mm,,542.NE.2010.LR.1204,542.NE.2010.LR.1204,,Ladies' watch,Hublot,,On request,,,Titanium,"United States, Florida, Miami",http://www.chrono24.com/hublot/classic-fusion-42mm-automatic-titanium-mens-watch-ref-542ne2010lr1204--id5268989.htm,"$9,159",0 (unworn),
,33 mm,,581.OX.7180.LR,581.OX.7180.LR,,Ladies' watch,Hublot,,On request,,,Pink gold,"United States, Florida, Miami",http://www.chrono24.com/hublot/classic-fusion-33mm-automatic-18k-rose-gold-mens-watch-ref-581ox7180lr--id5269017.htm,"$10,490",0 (unworn),
,33 mm,,581.CO.1781.RX,581.CO.1781.RX,,Men's watch/Unisex,Hublot,,On request,,,Ceramic,"United States, Florida, Miami",http://www.chrono24.com/hublot/classic-fusion-33mm-quartz-black-ceramic-mens-watch-ref-581co1781rx--id5268830.htm,"$5,530",0 (unworn),
,42 mm,,542.NX.1171.LR,542.NX.1171.LR,,Men's watch/Unisex,Hublot,,On request,,,Titanium,"United States, Florida, Miami",http://www.chrono24.com/hublot/classic-fusion-42mm-automatic-titanium-mens-watch-ref-542nx1171lr--id5269055.htm,"$4,950",0 (unworn),
,38 mm,White,361.PE.2010.RW.1704,361.PE.2010.RW.1704,,Ladies' watch,Hublot,,On request,Fold clasp,,Pink gold,"United States, Florida, Miami",http://www.chrono24.com/hublot/big-bang-38mm-quartz-18k-rose-gold-mens-watch-ref-361pe2010rw1704--id5268893.htm,"$19,900",0 (unworn),
,42 mm,,541.NX.2611.NX,541.NX.2611.NX,,Men's watch/Unisex,Hublot,,On request,,,Titanium,"United States, Florida, Miami",http://www.chrono24.com/hublot/classic-fusion-42mm-automatic-titanium-mens-watch-ref-541nx2611nx--id5269311.htm,"$8,245",0 (unworn),
With papers,44 mm,,311.PX.1180.GR,311.PX.1180.GR,,Men's watch/Unisex,Hublot,,On request,Fold clasp,,Pink gold,"United States, Florida, Miami",http://www.chrono24.com/hublot/big-bang-aero-bang-44mm-automatic-18k-rose-gold-mens-watch-ref-311px1180gr--id5268840.htm,"$26,740",0 (unworn),
With papers,45 mm,,515.CM.0140.LR,515.CM.0140.LR,,Men's watch/Unisex,Hublot,,On request,Buckle,,Titanium,"United States, Florida, Miami",http://www.chrono24.com/hublot/classic-fusion-45mm-hand-wind-titanium-mens-watch-ref-515cm0140lr--id5268624.htm,"$11,690",0 (unworn),
,33 mm,,581.NE.2010.LR.1204,581.NE.2010.LR.1204,,Ladies' watch,Hublot,,On request,,,Titanium,"United States, Florida, Miami",http://www.chrono24.com/hublot/classic-fusion-33mm-automatic-titanium-mens-watch-ref-581ne2010lr1204--id5269671.htm,"$6,230",0 (unworn),
,41 mm,,341.PX.130.RX,341.PX.130.RX,,Men's watch/Unisex,Hublot,,On request,Fold clasp,,Pink gold,"United States, Florida, Miami",http://www.chrono24.com/hublot/big-bang-41mm-automatic-18k-rose-gold-mens-watch-ref-341px130rx--id5269362.htm,"$20,900",0 (unworn),
,45 mm,,516.CM.1440.LR,516.CM.1440.LR,,Men's watch/Unisex,Hublot,,On request,,,Ceramic,"United States, Florida, Miami",http://www.chrono24.com/hublot/classic-fusion-45mm-hand-wind-ceramic-mens-watch-ref-516cm1440lr--id5268591.htm,"$11,690",0 (unworn),
,48 mm,,601.OX.0183.LR,601.OX.0183.LR,,Men's watch/Unisex,Hublot,,On request,,,,"United States, Florida, Miami",http://www.chrono24.com/hublot/spirit-of-big-bang--48mm-automatic-18k-king-gold-mens-watch-ref-601ox0183lr--id5269081.htm,"$32,200",0 (unworn),
,45 mm,,601.NX.0173.LR,601.NX.0173.LR,,Men's watch/Unisex,Hublot,,On request,,,Titanium,"United States, Florida, Miami",http://www.chrono24.com/hublot/spirit-of-big-bang-45mm-automatic-titanium-mens-watch-ref-601nx0173lr--id5268459.htm,"$16,875",0 (unworn),
With box,36 x 44 mm,Black,7970,1530.1,,,Hublot,Arabic numerals,On request,Double-fold clasp,,Steel,"United States, New York, New York",http://www.chrono24.com/hublot/classic-mdm-stainless-steel-36mm-automatic-ref-15301--id2789272.htm,price on request,1 (mint),Automatic
